Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
Prostaglandin J2,前列腺素J2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05957,HMDB0002710,8.08226255,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1826,-0.1757,0.5409,1.8453,2.0481,0.317912,0.640719,0.366648,0.9053,0.668606,0.411417,0.794994,2,True,0.1065,True,0.4167,0.54562,False
"14,15-DiHydroxy-5Z,8Z,11Z-eicosatrienoic acid",14，15-双羟基-5Z，8Z，11Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14775,HMDB0002265,9.2741866,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0618,-0.2053,0.0818,2.6945,2.6314,0.398922,0.640719,0.382949,-0.8749,0.668606,0.334998,0.794994,1,True,-0.07,True,-0.134,0.337614,False
"7-Hydroxy-4Z,8E,10Z,13Z,16Z,19Z-docosahexaenoic acid",7-羟基-4Z，8E，10Z，13Z，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060050,10.1722045,Membrane,165,-,False,↑(超重肥胖>正常),0.1224,-0.1439,0.3886,2.8716,2.9707,0.367658,0.640719,0.388547,0.8646,0.668606,0.195877,0.704198,3,True,0.1573,True,-0.2854,0.141384,False
"12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid","12-羟基-5,8,10,14,17-二十碳五烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,HMDB0010202,9.68653425,Membrane,165,-,False,↑(超重肥胖>正常),0.1554,-0.2189,0.5297,4.5551,4.676,0.415894,0.648022,0.393545,0.8555,0.668606,0.55214,0.87986,1,True,0.1105,True,0.2889,0.554303,False
"12,13-Epoxy-9Z-octadecenoic acid","12,13-环氧基-9Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14826,HMDB0004702,10.1960685,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.3482,-0.3953,1.0918,4.1087,4.6096,0.358638,0.640719,0.404263,0.8362,0.668606,0.5869,0.87986,7,True,0.1093,True,0.6862,0.686956,False
"19,20-DiHydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19,20-二羟基-4Z,7Z,10Z,13Z,16Z-二十二碳五烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0010214,9.37198155,Membrane,165,-,False,↑(超重肥胖>正常),0.1317,-0.1204,0.3837,1.4681,1.5953,0.305913,0.640719,0.412112,0.8223,0.668606,0.669925,0.887112,6,True,-0.0797,False,0.3946,0.402937,False
"15-Hydroperoxy-5,8,11,14,17-eicosapentaenoic acid","15-过氧羟基-5,8,11,14,17-二十碳五烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroperoxyeicosapentaenoic acids,,,9.8071909,,165,-,False,↑(超重肥胖>正常),0.3528,-0.4378,1.1435,5.1813,5.6163,0.381764,0.640719,0.419126,0.81,0.668606,0.99854,0.99854,3,True,0.3756,True,-0.0644,0.261123,False
"8-Hydroxy-9E,11Z,14Z-eicosatrienoic acid","8-羟基-9E,11Z,14Z-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,HMDB0060052,10.273383,Membrane,165,-,False,↑(超重肥胖>正常),0.0711,-0.095,0.2372,3.2201,3.2948,0.401645,0.640719,0.435143,0.7824,0.678014,0.390898,0.794994,0,False,0.0711,True,0.0,0.401645,True
15-Keto prostaglandin F2α,15-酮基-前列腺素F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05960,HMDB0004240,7.46162745,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0789,-0.1217,0.2794,3.1824,3.2387,0.440851,0.656378,0.451643,0.7545,0.687729,0.757193,0.938212,0,False,0.0789,True,0.0,0.440851,True
"18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",18-羟基-5Z，8Z，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,HMDB0006245,9.75928835,"Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↓(超重肥胖<正常),-0.1306,-0.4605,0.1994,1.481,1.4006,0.438005,0.656378,0.465126,-0.7322,0.692521,0.432562,0.794994,5,True,-0.1756,True,-0.3453,0.200824,False
